pickup_datetime,te,fe,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fpos,tpos,fdist,tdist
1,3187,337,1,0.84,-74.00837707519531,40.72111511230469,-74.0077896118164,40.731910705566406,40.19437666036127,8.72733325227737,0.4184002314534301,1.4045546361190957
2,3572,16855,1,1.3,-74.00274658203125,40.7286491394043,-73.98251342773438,40.723182678222656,13.33851232091248,62.40704532555664,1.0363670864817356,4.3017979460267215
7,5923,3276,1,0.67,-74.00579071044923,40.73630905151367,-74.0054702758789,40.72859954833984,45.9417029900192,3.4448716966438178,4.418487286778962,1.9048158797764771
7,3979,6687,1,0.4,-73.98357391357422,40.72985458374024,-73.9771728515625,40.72900390625,58.54219264050947,79.65372217239369,1.1307041291123832,5.60800169381889
22,50,19322,1,0.7,-73.99834442138672,40.72633743286133,-73.99604797363281,40.732521057128906,3.219036259993783,31.98776771891805,3.238638314616937,7.226973710503137
45,3204,2435,3,0.87,-74.00247955322266,40.73342514038086,-74.0080795288086,40.73815536499024,74.18867926120674,130.28152385922593,1.3105755247744717,0.9315948443048572
52,-25459,987,2,1.1,-73.99090576171875,40.73462677001953,-73.98564147949219,40.723194122314446,14.237540525721396,53.124349632670985,5.545947514980832,0.0011964687667286
53,3521,11513,2,1.83,-73.99176788330078,40.72621536254882,-73.97950744628906,40.7173080444336,60.19037653127429,47.96834071541168,0.3164612995067652,5.535288293154776
55,15047,2002,1,0.9,-74.00382232666014,40.732547760009766,-73.99040222167967,40.7281379699707,37.978230384643936,29.446772206050586,5.247251025318003,5.835540365337731
59,3565,3565,1,0.0,-73.9900894165039,40.72525405883789,-73.9901351928711,40.72515869140625,35.22336871564896,46.35645174267858,0.1650509530389129,1.5883177251950389
62,-19281,9685,1,0.5,-73.98114776611328,40.720718383789055,-73.99124145507811,40.7233772277832,93.6910480913119,19.29386659588638,0.6778874228716939,4.090873523618285
68,1541,2817,1,1.54,-74.01001739501953,40.720462799072266,-73.99919128417967,40.73400115966797,26.28452568171907,33.0246324299458,3.5888443823866223,3.5582925265958205
